Gen,GenAvg,BestFit
0,390.8,406
1,395.7,406
2,398.9,409
3,397.6,409
4,399,409
5,400.1,409
6,400.2,409
7,400.9,409
8,402.2,409
9,403.1,409
10,404.4,409
11,405.6,409
12,406.9,416
13,409.2,416
14,410.5,416
15,412.3,416
16,412.3,417
17,414.2,417
18,415.5,417
19,416,417
20,416.4,417
21,415.5,417
22,416,417
23,416,417
24,416.5,417
25,417,418
26,416.2,418
27,417.1,418
28,415.4,418
29,417.2,418
30,417.5,419
31,416.1,419
32,418,420
33,418.4,420
34,416.2,420
35,418.1,420
36,418.4,420
37,418.9,420
38,418.7,420
39,419,420
40,419.3,420
41,419.5,420
42,419.9,422
43,419.8,422
44,419.9,422
45,417.2,422
46,420.2,422
47,419.3,422
48,418.6,422
49,420.9,422
50,421,422
